"ItemTitle","IMDBid","ItemYear","ItemRuntime","Rating","Rated.Date","Decade","Seen","Service","Type"
"WR: Mysteries of the Organism","tt0067958",1971,"84 min",NA,NA,"1970s","No",NA,NA
"Moolaadé","tt0416991",2004,"124 min",NA,NA,"2000s","No",NA,NA
"Cabiria","tt0003740",1914,"148 min",NA,NA,"1910s","No",NA,NA
"The Shining","tt0081505",1980,"146 min","9","Rated on 09 Jul 2021","1980s","Yes",NA,NA
"Chimes at Midnight","tt0059012",1965,"115 min",NA,NA,"1960s","No",NA,NA
"Army of Shadows","tt0064040",1969,"145 min",NA,NA,"1960s","No",NA,NA
"Au Revoir les Enfants","tt0092593",1987,"104 min",NA,NA,"1980s","No",NA,NA
"The Long Goodbye","tt0070334",1973,"112 min",NA,NA,"1970s","No",NA,NA
"Ripley's Game","tt0265651",2002,"110 min",NA,NA,"2000s","No",NA,NA
"Night Moves","tt0073453",1975,"100 min",NA,NA,"1970s","No",NA,NA
"Cat People","tt0034587",1942,"73 min","8","Rated on 11 Jul 2021","1940s","Yes",NA,NA
"Samurai Rebellion","tt0061847",1967,"128 min",NA,NA,"1960s","No",NA,NA
"The River","tt0043972",1951,"99 min",NA,NA,"1950s","No",NA,NA
"Inherit the Wind","tt0053946",1960,"128 min","8","Rated on 17 Oct 2021","1960s","Yes","Prime","Feature Film"
"My Fair Lady","tt0058385",1964,"170 min","7","Rated on 10 Aug 2021","1960s","Yes",NA,NA
"Forbidden Games","tt0043686",1952,"86 min",NA,NA,"1950s","No",NA,NA
"Atlantic City","tt0080388",1980,"104 min",NA,NA,"1980s","No",NA,NA
"Dark City","tt0118929",1998,"100 min",NA,NA,"1990s","No",NA,NA
"Crumb","tt0109508",1994,"119 min",NA,NA,"1990s","No",NA,NA
"Top Hat","tt0027125",1935,"101 min","6","Rated on 09 Jul 2021","1930s","Yes",NA,NA
"The Dead","tt0092843",1987,"83 min",NA,NA,"1980s","No",NA,NA
"Nanook of the North","tt0013427",1922,"78 min","7","Rated on 17 Sep 2021","1920s","Yes",NA,NA
"Crimes and Misdemeanors","tt0097123",1989,"104 min",NA,NA,"1980s","No",NA,NA
"Fitzcarraldo","tt0083946",1982,"158 min",NA,NA,"1980s","No","Prime","Feature Film"
"The Age of Innocence","tt0106226",1993,"139 min",NA,NA,"1990s","No",NA,NA
"Leolo","tt0104782",1992,"107 min",NA,NA,"1990s","No",NA,NA
"The Terrorist","tt0169302",1998,"95 min",NA,NA,"1990s","No",NA,NA
"Safety Last!","tt0014429",1923,"74 min",NA,NA,"1920s","No",NA,NA
"Woodstock","tt0066580",1970,"184 min",NA,NA,"1970s","No",NA,NA
"Rebel Without a Cause","tt0048545",1955,"111 min","8","Rated on 09 Jul 2021","1950s","Yes",NA,NA
"Howards End","tt0104454",1992,"142 min",NA,NA,"1990s","No",NA,NA
"Faust","tt0016847",1926,"107 min","6","Rated on 11 Jul 2021","1920s","Yes",NA,NA
"The Marriage of Maria Braun","tt0079095",1979,"120 min",NA,NA,"1970s","No",NA,NA
"Yojimbo","tt0055630",1961,"110 min",NA,NA,"1960s","No",NA,NA
"The Band Wagon","tt0045537",1953,"112 min",NA,NA,"1950s","No",NA,NA
"After Dark, My Sweet","tt0098994",1990,"114 min",NA,NA,"1990s","No",NA,NA
"Paths of Glory","tt0050825",1957,"88 min",NA,NA,"1950s","No",NA,NA
"Late Spring","tt0041154",1949,"108 min",NA,NA,"1940s","No",NA,NA
"Groundhog Day","tt0107048",1993,"101 min","7","Rated on 15 Jul 2021","1990s","Yes",NA,NA
"The Scarlet Empress","tt0025746",1934,"104 min",NA,NA,"1930s","No",NA,NA
"The Phantom of the Opera","tt0016220",1925,"93 min",NA,NA,"1920s","No",NA,NA
"Fanny and Alexander","tt0083922",1982,"188 min",NA,NA,"1980s","No",NA,NA
"The Big Red One","tt0080437",1980,"113 min",NA,NA,"1980s","No",NA,NA
"A Woman's Tale","tt0103282",1991,"93 min",NA,NA,"1990s","No",NA,NA
"The Battle of Algiers","tt0058946",1966,"121 min",NA,NA,"1960s","No",NA,NA
"Easy Rider","tt0064276",1969,"95 min",NA,NA,"1960s","No",NA,NA
"Three Women","tt0075612",1977,"124 min",NA,NA,"1970s","No",NA,NA
"Playtime","tt0062136",1967,"155 min",NA,NA,"1960s","No",NA,NA
"Pixote","tt0082912",1980,"128 min",NA,NA,"1980s","No",NA,NA
"Last Tango in Paris","tt0070849",1972,"129 min",NA,NA,"1970s","No",NA,NA
"El Norte","tt0085482",1983,"141 min",NA,NA,"1980s","No",NA,NA
"Out of the Past","tt0039689",1947,"97 min",NA,NA,"1940s","No",NA,NA
"The Last Picture Show","tt0067328",1971,"118 min",NA,NA,"1970s","No",NA,NA
"Jules and Jim","tt0055032",1962,"105 min",NA,NA,"1960s","No",NA,NA
"The Big Heat","tt0045555",1953,"89 min",NA,NA,"1950s","No",NA,NA
"Leaving Las Vegas","tt0113627",1995,"111 min",NA,NA,"1990s","No",NA,NA
"Victim","tt0055597",1961,"90 min",NA,NA,"1960s","No",NA,NA
"Ugetsu","tt0046478",1953,"96 min",NA,NA,"1950s","No",NA,NA
"Sunrise","tt0018455",1927,"94 min",NA,NA,"1920s","No",NA,NA
"Au hasard Balthazar","tt0060138",1966,"95 min",NA,NA,"1960s","No",NA,NA
"The Color Purple","tt0088939",1985,"154 min",NA,NA,"1980s","No",NA,NA
"The Gospel According to St. Matthew","tt0058715",1964,"137 min",NA,NA,"1960s","No","Prime","Feature Film"
"The Rules of the Game","tt0031885",1939,"110 min",NA,NA,"1930s","No",NA,NA
"West Side Story","tt0055614",1961,"153 min","8","Rated on 29 Dec 2021","1960s","Yes",NA,NA
"Touchez Pas au Grisbi","tt0046451",1954,"83 min",NA,NA,"1950s","No",NA,NA
"The Man Who Laughs","tt0019130",1928,"110 min",NA,NA,"1920s","No",NA,NA
"Amarcord","tt0071129",1973,"123 min","8","Rated on 11 Jul 2021","1970s","Yes",NA,NA
"Mean Streets","tt0070379",1973,"112 min",NA,NA,"1970s","No",NA,NA
"Strangers on a Train","tt0044079",1951,"101 min","8","Rated on 06 Jan 2022","1950s","Yes",NA,NA
"Taxi Driver","tt0075314",1976,"114 min","9","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"The Manchurian Candidate","tt0056218",1962,"126 min",NA,NA,"1960s","No",NA,NA
"Le Boucher","tt0064106",1970,"93 min",NA,NA,"1970s","No",NA,NA
"Tokyo Story","tt0046438",1953,"136 min",NA,NA,"1950s","No","Prime","Feature Film"
"Alien","tt0078748",1979,"117 min","9","Rated on 09 Jul 2021","1970s","Yes","Prime","Feature Film"
"The Treasure of the Sierra Madre","tt0040897",1948,"126 min",NA,NA,"1940s","No",NA,NA
"Scarface","tt0086250",1983,"170 min",NA,NA,"1980s","No",NA,NA
"The Leopard","tt0057091",1963,"186 min",NA,NA,"1960s","No",NA,NA
"Santa Sangre","tt0098253",1989,"123 min",NA,NA,"1980s","No",NA,NA
"The Adventures of Robin Hood","tt0029843",1938,"102 min",NA,NA,"1930s","No",NA,NA
"The Good, the Bad and the Ugly","tt0060196",1966,"178 min",NA,NA,"1960s","No",NA,NA
"A Year of the Quiet Sun","tt0088009",1984,"106 min",NA,NA,"1980s","No",NA,NA
"Breathless","tt0053472",1960,"90 min","8","Rated on 01 Oct 2021","1960s","Yes",NA,NA
"Moonstruck","tt0093565",1987,"102 min","8","Rated on 09 Jul 2021","1980s","Yes",NA,NA
"Mon Oncle","tt0050706",1958,"116 min","7","Rated on 14 Jul 2021","1950s","Yes",NA,NA
"Bob le Flambeur","tt0047892",1956,"98 min",NA,NA,"1950s","No",NA,NA
"A Sunday in the Country","tt0088318",1984,"90 min",NA,NA,"1980s","No",NA,NA
"Raise the Red Lantern","tt0101640",1991,"125 min",NA,NA,"1990s","No","Prime","Feature Film"
"The Birth of a Nation","tt0004972",1915,"195 min",NA,NA,"1910s","No",NA,NA
"Five Easy Pieces","tt0065724",1970,"98 min",NA,NA,"1970s","No",NA,NA
"One Flew Over the Cuckoo's Nest","tt0073486",1975,"133 min",NA,NA,"1970s","No",NA,NA
"Three Colors: Blue","tt0108394",1993,"94 min",NA,NA,"1990s","No",NA,NA
