"ItemTitle","IMDBid","ItemYear","ItemRuntime","Rating","Rated.Date","Seen","Service","Type"
"Playtime","tt0062136",1967,"155 min",NA,NA,"No",NA,NA
"Point Blank","tt0062138",1967,"92 min",NA,NA,"No",NA,NA
"Poltergeist","tt0084516",1982,"114 min","7","Rated on 03 Sep 2021","Yes",NA,NA
"Ponette","tt0117359",1996,"97 min",NA,NA,"No",NA,NA
"The Postman","tt0110877",1994,"108 min",NA,NA,"No",NA,NA
"The Postman Always Rings Twice","tt0038854",1946,"113 min",NA,NA,"No",NA,NA
"Pretty Baby","tt0078111",1978,"110 min",NA,NA,"No",NA,NA
"Pride and Prejudice","tt0032943",1940,"118 min",NA,NA,"No",NA,NA
"The Pride of the Yankees","tt0035211",1942,"128 min",NA,NA,"No","Prime","Feature Film"
"Prince of the City","tt0082945",1981,"167 min",NA,NA,"No",NA,NA
"The Prisoner","tt0048512",1955,"91 min",NA,NA,"No",NA,NA
"The Private Life of Henry VIII","tt0024473",1933,"97 min",NA,NA,"No",NA,NA
"Prizzi's Honor","tt0089841",1985,"130 min",NA,NA,"No",NA,NA
"The Producers","tt0063462",1967,"88 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"Psycho","tt0054215",1960,"109 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"The Public Enemy","tt0022286",1931,"83 min",NA,NA,"No",NA,NA
"Pulp Fiction","tt0110912",1994,"154 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"The Purple Rose of Cairo","tt0089853",1985,"82 min",NA,NA,"No",NA,NA
"Pygmalion","tt0030637",1938,"89 min",NA,NA,"No",NA,NA
"Quadrophenia","tt0079766",1979,"120 min",NA,NA,"No",NA,NA
"The Quiet Man","tt0045061",1952,"129 min",NA,NA,"No",NA,NA
"Raging Bull","tt0081398",1980,"129 min",NA,NA,"No",NA,NA
"Indiana Jones and the Raiders of the Lost Ark","tt0082971",1981,"115 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"Rain Man","tt0095953",1988,"133 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Raise the Red Lantern","tt0101640",1991,"125 min",NA,NA,"No","Prime","Feature Film"
"Raising Arizona","tt0093822",1987,"94 min",NA,NA,"No",NA,NA
"Ran","tt0089881",1985,"162 min",NA,NA,"No",NA,NA
"The Rapture","tt0102757",1991,"100 min",NA,NA,"No",NA,NA
"Rashomon","tt0042876",1950,"88 min",NA,NA,"No",NA,NA
"Re-Animator","tt0089885",1985,"104 min",NA,NA,"No",NA,NA
"Rear Window","tt0047396",1954,"112 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"Rebecca","tt0032976",1940,"130 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"Rebel Without a Cause","tt0048545",1955,"111 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Three Colors: Red","tt0111495",1994,"99 min",NA,NA,"No",NA,NA
"The Red Badge of Courage","tt0043961",1951,"69 min",NA,NA,"No",NA,NA
"Red River","tt0040724",1948,"133 min",NA,NA,"No",NA,NA
"The Red Shoes","tt0040725",1948,"135 min",NA,NA,"No","Prime","Feature Film"
"Reds","tt0082979",1981,"195 min",NA,NA,"No",NA,NA
"The Remains of the Day","tt0107943",1993,"134 min",NA,NA,"No",NA,NA
"Repo Man","tt0087995",1984,"92 min","6","Rated on 12 Jan 2022","Yes",NA,NA
"Repulsion","tt0059646",1965,"105 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"Reservoir Dogs","tt0105236",1992,"99 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"The Return of Martin Guerre","tt0084589",1982,"112 min",NA,NA,"No",NA,NA
"Reuben, Reuben","tt0084591",1983,"101 min",NA,NA,"No",NA,NA
"Reversal of Fortune","tt0100486",1990,"111 min",NA,NA,"No",NA,NA
"Richard III","tt0049674",1955,"161 min",NA,NA,"No",NA,NA
"Ride the High Country","tt0056412",1962,"94 min",NA,NA,"No",NA,NA
"Rififi","tt0048021",1955,"118 min",NA,NA,"No",NA,NA
"The Right Stuff","tt0086197",1983,"193 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Risky Business","tt0086200",1983,"99 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"River's Edge","tt0091860",1986,"99 min",NA,NA,"No",NA,NA
"The Road Warrior","tt0082694",1981,"96 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"RoboCop","tt0093870",1987,"102 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"Rocco and His Brothers","tt0054248",1960,"179 min",NA,NA,"No",NA,NA
"Roger & Me","tt0098213",1989,"91 min","6","Rated on 16 Sep 2021","Yes",NA,NA
"Roman Holiday","tt0046250",1953,"118 min","10","Rated on 31 Jul 2021","Yes",NA,NA
"Romeo and Juliet","tt0028203",1936,"125 min",NA,NA,"No",NA,NA
"Romeo and Juliet","tt0063518",1968,"138 min",NA,NA,"No",NA,NA
"Room at the Top","tt0053226",1959,"115 min",NA,NA,"No",NA,NA
"A Room with a View","tt0091867",1985,"117 min",NA,NA,"No",NA,NA
"The Rose Tattoo","tt0048563",1955,"117 min",NA,NA,"No",NA,NA
"Rosemary's Baby","tt0063522",1968,"137 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"'Round Midnight","tt0090557",1986,"133 min",NA,NA,"No",NA,NA
"Ruggles of Red Gap","tt0026955",1935,"90 min",NA,NA,"No",NA,NA
"The Rules of the Game","tt0031885",1939,"110 min",NA,NA,"No",NA,NA
"The Ruling Class","tt0069198",1972,"154 min",NA,NA,"No",NA,NA
"Rushmore","tt0128445",1998,"93 min","7","Rated on 09 Jul 2021","Yes","Prime","Feature Film"
"Ruthless People","tt0091877",1986,"93 min",NA,NA,"No",NA,NA
"Sahara","tt0036323",1943,"97 min",NA,NA,"No",NA,NA
"Salaam Bombay!","tt0096028",1988,"113 min",NA,NA,"No",NA,NA
"Salesman","tt0064921",1969,"91 min",NA,NA,"No",NA,NA
"Sanjuro","tt0056443",1962,"96 min",NA,NA,"No",NA,NA
"Sansho the Bailiff","tt0047445",1954,"124 min",NA,NA,"No",NA,NA
"Saturday Night and Sunday Morning","tt0054269",1960,"89 min",NA,NA,"No",NA,NA
"Saturday Night Fever","tt0076666",1977,"118 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"Saving Private Ryan","tt0120815",1998,"169 min","9","Rated on 09 Jul 2021","Yes","Prime","Feature Film"
"Say Anything","tt0098258",1989,"100 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"Sayonara","tt0050933",1957,"147 min",NA,NA,"No","Prime","Feature Film"
"Scenes from a Marriage","tt0070644",1973,"283 min",NA,NA,"No",NA,NA
"Schindler's List","tt0108052",1993,"195 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"The Scoundrel","tt0026970",1935,"76 min",NA,NA,"No",NA,NA
"The Search","tt0040765",1948,"104 min",NA,NA,"No",NA,NA
"The Searchers","tt0049730",1956,"119 min",NA,NA,"No",NA,NA
"Secret Honor","tt0088074",1984,"90 min",NA,NA,"No",NA,NA
"Secrets & Lies","tt0117589",1996,"136 min",NA,NA,"No",NA,NA
"Sense and Sensibility","tt0114388",1995,"136 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Sergeant York","tt0034167",1941,"134 min",NA,NA,"No",NA,NA
"Serpico","tt0070666",1973,"130 min",NA,NA,"No",NA,NA
"The Servant","tt0057490",1963,"116 min",NA,NA,"No",NA,NA
"The Set-Up","tt0041859",1949,"73 min",NA,NA,"No",NA,NA
"Seven Beauties","tt0075040",1975,"116 min",NA,NA,"No",NA,NA
"Seven Brides for Seven Brothers","tt0047472",1954,"102 min",NA,NA,"No",NA,NA
"Seven Days to Noon","tt0042949",1950,"94 min",NA,NA,"No",NA,NA
"Seven Samurai","tt0047478",1954,"207 min",NA,NA,"No",NA,NA
"Seven Up!","tt0058578",1964,"40 min",NA,NA,"No",NA,NA
"The Seven Year Itch","tt0048605",1955,"105 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"The Seventh Seal","tt0050976",1957,"96 min",NA,NA,"No",NA,NA
"Sex, Lies, and Videotape","tt0098724",1989,"100 min",NA,NA,"No",NA,NA
"Sexy Beast","tt0203119",2000,"89 min",NA,NA,"No",NA,NA
"Shadow of a Doubt","tt0036342",1943,"108 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"Shaft","tt0067741",1971,"100 min",NA,NA,"No",NA,NA
"Shakespeare in Love","tt0138097",1998,"123 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"Shane","tt0046303",1953,"118 min",NA,NA,"No",NA,NA
"She Wore a Yellow Ribbon","tt0041866",1949,"104 min",NA,NA,"No",NA,NA
"Sherman's March","tt0091943",1985,"157 min",NA,NA,"No",NA,NA
"She's Gotta Have It","tt0091939",1986,"84 min",NA,NA,"No",NA,NA
"The Shining","tt0081505",1980,"146 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"Ship of Fools","tt0059712",1965,"149 min",NA,NA,"No","Prime","Feature Film"
"Shoah","tt0090015",1985,"566 min",NA,NA,"No",NA,NA
"Shock Corridor","tt0057495",1963,"101 min",NA,NA,"No",NA,NA
"Shoeshine","tt0038913",1946,"87 min",NA,NA,"No",NA,NA
"Shoot the Piano Player","tt0054389",1960,"92 min",NA,NA,"No",NA,NA
"The Shooting Party","tt0088111",1984,"98 min",NA,NA,"No",NA,NA
"The Shootist","tt0075213",1976,"100 min",NA,NA,"No",NA,NA
"The Shop Around the Corner","tt0033045",1940,"99 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"The Shop on Main Street","tt0059527",1965,"128 min",NA,NA,"No",NA,NA
"A Shot in the Dark","tt0058586",1964,"102 min",NA,NA,"No",NA,NA
"Shrek","tt0126029",2001,"90 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"Sid and Nancy","tt0091954",1986,"112 min","6","Rated on 17 Jan 2022","Yes",NA,NA
"The Silence","tt0057611",1963,"96 min",NA,NA,"No",NA,NA
"The Silence of the Lambs","tt0102926",1991,"118 min","9","Rated on 09 Jul 2021","Yes","Prime","Feature Film"
"The Silent World","tt0049518",1956,"86 min",NA,NA,"No",NA,NA
"Silk Stockings","tt0050972",1957,"117 min",NA,NA,"No",NA,NA
"Silkwood","tt0086312",1983,"131 min",NA,NA,"No",NA,NA
"Singin' in the Rain","tt0045152",1952,"103 min","6","Rated on 04 Nov 2021","Yes",NA,NA
"Sitting Pretty","tt0040795",1948,"83 min",NA,NA,"No",NA,NA
"Sleeper","tt0070707",1973,"89 min",NA,NA,"No",NA,NA
"A Slight Case of Murder","tt0030764",1938,"85 min",NA,NA,"No",NA,NA
"Smash Palace","tt0083096",1981,"108 min",NA,NA,"No",NA,NA
"Smile","tt0073722",1975,"113 min",NA,NA,"No",NA,NA
"Smiles of a Summer Night","tt0048641",1955,"109 min",NA,NA,"No",NA,NA
"The Snake Pit","tt0040806",1948,"108 min",NA,NA,"No",NA,NA
"Snow White and the Seven Dwarfs","tt0029583",1937,"83 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"Some Like It Hot","tt0053291",1959,"121 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"The Sorrow and the Pity","tt0066904",1969,"251 min",NA,NA,"No",NA,NA
"The Sound of Music","tt0059742",1965,"172 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"South Pacific","tt0052225",1958,"157 min",NA,NA,"No",NA,NA
"Spartacus","tt0054331",1960,"197 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Spellbound","tt0038109",1945,"111 min","6","Rated on 07 Jan 2022","Yes",NA,NA
"The Spiral Staircase","tt0038975",1946,"83 min",NA,NA,"No",NA,NA
"Spirited Away","tt0245429",2001,"125 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Splendor in the Grass","tt0055471",1961,"124 min",NA,NA,"No",NA,NA
"Stage Door","tt0029604",1937,"92 min",NA,NA,"No",NA,NA
"Stagecoach","tt0031971",1939,"96 min",NA,NA,"No","Prime","Feature Film"
"Stairway to Heaven","tt0038733",1946,"104 min",NA,NA,"No",NA,NA
"Stalag 17","tt0046359",1953,"120 min",NA,NA,"No",NA,NA
"A Star Is Born","tt0029606",1937,"111 min","7","Rated on 09 Jul 2021","Yes","Prime","Feature Film"
"Star Trek II: The Wrath of Khan","tt0084726",1982,"113 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"Star Wars: Episode IV - A New Hope","tt0076759",1977,"121 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Starman","tt0088172",1984,"115 min",NA,NA,"No",NA,NA
"The Stars Look Down","tt0031976",1940,"110 min",NA,NA,"No",NA,NA
"State Fair","tt0024610",1933,"99 min",NA,NA,"No",NA,NA
"Stevie","tt0078321",1978,"102 min",NA,NA,"No",NA,NA
"Stolen Kisses","tt0062695",1968,"91 min",NA,NA,"No",NA,NA
"Stop Making Sense","tt0088178",1984,"88 min","8","Rated on 09 Jul 2021","Yes","Prime","Documentary"
"Stormy Monday","tt0096180",1988,"93 min",NA,NA,"No",NA,NA
"The Story of Adele H","tt0073114",1975,"96 min",NA,NA,"No",NA,NA
"Story of G.I. Joe","tt0038120",1945,"108 min",NA,NA,"No",NA,NA
"The Story of Qiu Ju","tt0105197",1992,"100 min",NA,NA,"No",NA,NA
"Story of Women","tt0096336",1988,"108 min",NA,NA,"No",NA,NA
"Storytelling","tt0250081",2001,"87 min",NA,NA,"No",NA,NA
"La Strada","tt0047528",1954,"108 min",NA,NA,"No",NA,NA
"The Straight Story","tt0166896",1999,"112 min",NA,NA,"No",NA,NA
"Straight Time","tt0078326",1978,"114 min",NA,NA,"No",NA,NA
"Stranger Than Paradise","tt0088184",1984,"89 min",NA,NA,"No",NA,NA
"Strangers on a Train","tt0044079",1951,"101 min","8","Rated on 06 Jan 2022","Yes",NA,NA
"Straw Dogs","tt0067800",1971,"113 min",NA,NA,"No",NA,NA
"A Streetcar Named Desire","tt0044081",1951,"122 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"Stroszek","tt0075276",1977,"115 min",NA,NA,"No","Prime","Feature Film"
"Suddenly, Last Summer","tt0053318",1959,"114 min",NA,NA,"No",NA,NA
"The Sugarland Express","tt0072226",1974,"110 min",NA,NA,"No",NA,NA
"Sullivan's Travels","tt0034240",1941,"90 min",NA,NA,"No",NA,NA
"Summer","tt0091830",1986,"99 min",NA,NA,"No",NA,NA
"Summertime","tt0048673",1955,"100 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"Sunday Bloody Sunday","tt0067805",1971,"110 min",NA,NA,"No","Prime","Feature Film"
"Sundays and Cybèle","tt0055910",1962,"111 min",NA,NA,"No",NA,NA
"Sunset Blvd.","tt0043014",1950,"110 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Suspicion","tt0034248",1941,"99 min","8","Rated on 02 Oct 2021","Yes",NA,NA
"The Sweet Hereafter","tt0120255",1997,"112 min",NA,NA,"No","Prime","Feature Film"
"Sweet Smell of Success","tt0051036",1957,"96 min",NA,NA,"No",NA,NA
"Sweet Sweetback's Baadasssss Song","tt0067810",1971,"97 min",NA,NA,"No",NA,NA
"Swept Away","tt0073817",1974,"114 min",NA,NA,"No",NA,NA
"Swing Time","tt0028333",1936,"103 min",NA,NA,"No",NA,NA
"The Taking of Pelham One Two Three","tt0072251",1974,"104 min",NA,NA,"No",NA,NA
"Talk to Her","tt0287467",2002,"112 min",NA,NA,"No",NA,NA
"Tampopo","tt0092048",1985,"114 min",NA,NA,"No",NA,NA
"Taste of Cherry","tt0120265",1997,"95 min",NA,NA,"No",NA,NA
"A Taste of Honey","tt0055506",1961,"101 min",NA,NA,"No",NA,NA
"Taxi Driver","tt0075314",1976,"114 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"A Taxing Woman","tt0093502",1987,"127 min",NA,NA,"No",NA,NA
"A Taxing Woman's Return","tt0095597",1988,"127 min",NA,NA,"No",NA,NA
"Tell Them Willie Boy Is Here","tt0065079",1969,"98 min",NA,NA,"No",NA,NA
"10","tt0078721",1979,"122 min",NA,NA,"No",NA,NA
"The Ten Commandments","tt0049833",1956,"220 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"Tender Mercies","tt0086423",1983,"92 min",NA,NA,"No",NA,NA
"The Tender Trap","tt0048705",1955,"111 min",NA,NA,"No",NA,NA
"Terms of Endearment","tt0086425",1983,"132 min",NA,NA,"No",NA,NA
"La Terra Trema","tt0040866",1948,"160 min",NA,NA,"No",NA,NA
"Tess","tt0080009",1979,"186 min",NA,NA,"No",NA,NA
"That Obscure Object of Desire","tt0075824",1977,"103 min",NA,NA,"No",NA,NA
"That's Life!","tt0092079",1986,"102 min",NA,NA,"No",NA,NA
"Thelma & Louise","tt0103074",1991,"130 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"These Three","tt0028356",1936,"93 min",NA,NA,"No",NA,NA
"They Live by Night","tt0040872",1948,"95 min",NA,NA,"No",NA,NA
"They Shoot Horses, Don't They?","tt0065088",1969,"129 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"They Were Expendable","tt0038160",1945,"135 min",NA,NA,"No",NA,NA
"They Won't Forget","tt0029658",1937,"95 min",NA,NA,"No",NA,NA
"The Thief of Bagdad","tt0033152",1940,"106 min",NA,NA,"No",NA,NA
"The Thin Blue Line","tt0096257",1988,"101 min",NA,NA,"No",NA,NA
"The Thin Man","tt0025878",1934,"91 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"The Thin Red Line","tt0120863",1998,"170 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"The Third Generation","tt0079083",1979,"111 min",NA,NA,"No",NA,NA
"The Third Man","tt0041959",1949,"93 min","8","Rated on 01 Jan 2022","Yes",NA,NA
"The 39 Steps","tt0026029",1935,"86 min","8","Rated on 09 Jul 2021","Yes","Prime","Feature Film"
"Thirty Two Short Films About Glenn Gould","tt0108328",1993,"98 min",NA,NA,"No",NA,NA
"This Is Spinal Tap","tt0088258",1984,"82 min",NA,NA,"No",NA,NA
"This Man Must Die","tt0064861",1969,"110 min",NA,NA,"No",NA,NA
"This Sporting Life","tt0057578",1963,"134 min",NA,NA,"No",NA,NA
"Three Comrades","tt0030865",1938,"98 min",NA,NA,"No",NA,NA
"Three Days of the Condor","tt0073802",1975,"117 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Throne of Blood","tt0050613",1957,"110 min",NA,NA,"No",NA,NA
"Whisky Galore!","tt0042040",1949,"82 min",NA,NA,"No",NA,NA
"The Tin Drum","tt0078875",1979,"142 min",NA,NA,"No",NA,NA
"To Be or Not to Be","tt0035446",1942,"99 min",NA,NA,"No",NA,NA
"To Catch a Thief","tt0048728",1955,"106 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"To Have and Have Not","tt0037382",1944,"100 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"To Kill a Mockingbird","tt0056592",1962,"129 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"To Live","tt0110081",1994,"133 min",NA,NA,"No",NA,NA
"Tokyo Story","tt0046438",1953,"136 min",NA,NA,"No","Prime","Feature Film"
"Tom Jones","tt0057590",1963,"129 min",NA,NA,"No",NA,NA
"Tootsie","tt0084805",1982,"116 min",NA,NA,"No",NA,NA
"Top Hat","tt0027125",1935,"101 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"Topaz","tt0065112",1969,"143 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"Topkapi","tt0058672",1964,"120 min",NA,NA,"No","Prime","Feature Film"
"Total Recall","tt0100802",1990,"113 min",NA,NA,"No",NA,NA
"Touch of Evil","tt0052311",1958,"95 min",NA,NA,"No",NA,NA
"Toy Story","tt0114709",1995,"81 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"Traffic","tt0181865",2000,"147 min","5","Rated on 09 Jul 2021","Yes",NA,NA
"The Train","tt0059825",1964,"133 min",NA,NA,"No",NA,NA
"Trainspotting","tt0117951",1996,"93 min",NA,NA,"No",NA,NA
"The Treasure of the Sierra Madre","tt0040897",1948,"126 min",NA,NA,"No",NA,NA
"A Tree Grows in Brooklyn","tt0038190",1945,"129 min",NA,NA,"No",NA,NA
"The Tree of Wooden Clogs","tt0077138",1978,"186 min",NA,NA,"No",NA,NA
"The Trip to Bountiful","tt0090203",1985,"108 min",NA,NA,"No","Prime","Feature Film"
"Tristana","tt0066491",1970,"99 min",NA,NA,"No",NA,NA
"Trouble in Paradise","tt0023622",1932,"83 min",NA,NA,"No",NA,NA
"The Trouble with Harry","tt0048750",1955,"99 min","5","Rated on 02 Oct 2021","Yes",NA,NA
"True Grit","tt0065126",1969,"128 min",NA,NA,"No",NA,NA
"True Love","tt0098528",1989,"104 min",NA,NA,"No",NA,NA
"Trust","tt0103130",1990,"107 min",NA,NA,"No",NA,NA
"Tunes of Glory","tt0054412",1960,"106 min",NA,NA,"No",NA,NA
"12 Angry Men","tt0050083",1957,"96 min","9","Rated on 09 Jul 2021","Yes","Prime","Feature Film"
"Twelve O'Clock High","tt0041996",1949,"132 min",NA,NA,"No",NA,NA
"Twentieth Century","tt0025919",1934,"91 min",NA,NA,"No",NA,NA
"Two English Girls","tt0066989",1971,"130 min",NA,NA,"No",NA,NA
"2001: A Space Odyssey","tt0062622",1968,"149 min","10","Rated on 09 Jul 2021","Yes",NA,NA
"Two Women","tt0054749",1960,"101 min",NA,NA,"No","Prime","Feature Film"
"Ugetsu","tt0046478",1953,"96 min",NA,NA,"No",NA,NA
"Ulzana's Raid","tt0069436",1972,"103 min",NA,NA,"No",NA,NA
"Umberto D.","tt0045274",1952,"89 min",NA,NA,"No",NA,NA
"The Unbearable Lightness of Being","tt0096332",1988,"171 min",NA,NA,"No",NA,NA
"Unforgiven","tt0105695",1992,"130 min",NA,NA,"No",NA,NA
"The Usual Suspects","tt0114814",1995,"106 min","8","Rated on 09 Jul 2021","Yes","Prime","Feature Film"
"Vanya on 42nd Street","tt0111590",1994,"119 min",NA,NA,"No",NA,NA
"The Verdict","tt0084855",1982,"129 min",NA,NA,"No",NA,NA
"Vertigo","tt0052357",1958,"128 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Videodrome","tt0086541",1983,"87 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"Violette","tt0078467",1978,"124 min",NA,NA,"No",NA,NA
"Viridiana","tt0055601",1961,"90 min",NA,NA,"No",NA,NA
"Viva Zapata!","tt0045296",1952,"113 min",NA,NA,"No",NA,NA
"The Voice of the Turtle","tt0039969",1947,"103 min",NA,NA,"No",NA,NA
"The Wages of Fear","tt0046268",1953,"131 min",NA,NA,"No",NA,NA
"Waking Life","tt0243017",2001,"99 min",NA,NA,"No",NA,NA
"Walkabout","tt0067959",1971,"100 min",NA,NA,"No",NA,NA
"A Walk in the Sun","tt0038235",1945,"117 min",NA,NA,"No",NA,NA
"The War Game","tt0059894",1966,"48 min",NA,NA,"No",NA,NA
"The War of the Roses","tt0098621",1989,"116 min",NA,NA,"No",NA,NA
"The Warriors","tt0080120",1979,"92 min",NA,NA,"No",NA,NA
"Watch on the Rhine","tt0036515",1943,"114 min",NA,NA,"No",NA,NA
"The Waterdance","tt0105789",1992,"106 min",NA,NA,"No",NA,NA
"The Way We Were","tt0070903",1973,"118 min","7","Rated on 18 Jan 2022","Yes",NA,NA
"Weekend","tt0062480",1967,"105 min",NA,NA,"No",NA,NA
"Welcome to the Dollhouse","tt0114906",1995,"88 min",NA,NA,"No",NA,NA
"The Well-Digger's Daughter","tt0033603",1940,"142 min",NA,NA,"No",NA,NA
"West Side Story","tt0055614",1961,"153 min","8","Rated on 29 Dec 2021","Yes",NA,NA
"The Whales of August","tt0094315",1987,"90 min",NA,NA,"No",NA,NA
"What Ever Happened to Baby Jane?","tt0056687",1962,"134 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"What's Eating Gilbert Grape","tt0108550",1993,"118 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"What's Up, Doc?","tt0069495",1972,"94 min",NA,NA,"No",NA,NA
"When Harry Met Sally...","tt0098635",1989,"95 min",NA,NA,"No",NA,NA
"White Heat","tt0042041",1949,"114 min",NA,NA,"No",NA,NA
"Who Framed Roger Rabbit","tt0096438",1988,"104 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Who's Afraid of Virginia Woolf?","tt0061184",1966,"131 min",NA,NA,"No",NA,NA
"The Wild Bunch","tt0065214",1969,"135 min",NA,NA,"No",NA,NA
"The Wild Child","tt0064285",1970,"83 min",NA,NA,"No",NA,NA
"Wild Reeds","tt0111019",1994,"110 min",NA,NA,"No",NA,NA
"Wild Strawberries","tt0050986",1957,"91 min","8","Rated on 11 Jan 2022","Yes",NA,NA
"Wilson","tt0037465",1944,"154 min",NA,NA,"No",NA,NA
"Wings of Desire","tt0093191",1987,"128 min",NA,NA,"No",NA,NA
"Wise Blood","tt0080140",1979,"106 min",NA,NA,"No",NA,NA
"The Wizard of Oz","tt0032138",1939,"102 min","10","Rated on 09 Jul 2021","Yes",NA,NA
"Woman in the Dunes","tt0058625",1964,"147 min",NA,NA,"No",NA,NA
"Woman of the Year","tt0035567",1942,"114 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"The Women","tt0032143",1939,"133 min",NA,NA,"No",NA,NA
"Women in Love","tt0066579",1969,"131 min",NA,NA,"No",NA,NA
"Women on the Verge of a Nervous Breakdown","tt0095675",1988,"88 min",NA,NA,"No",NA,NA
"Woodstock","tt0066580",1970,"184 min",NA,NA,"No",NA,NA
"Working Girl","tt0096463",1988,"113 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"The World of Apu","tt0052572",1959,"105 min",NA,NA,"No",NA,NA
"The World of Henry Orient","tt0058756",1964,"106 min",NA,NA,"No",NA,NA
"Written on the Wind","tt0049966",1956,"99 min",NA,NA,"No",NA,NA
"Wuthering Heights","tt0032145",1939,"104 min","8","Rated on 09 Jul 2021","Yes","Prime","Feature Film"
"Yankee Doodle Dandy","tt0035575",1942,"126 min",NA,NA,"No",NA,NA
"The Year of Living Dangerously","tt0086617",1982,"115 min",NA,NA,"No",NA,NA
"The Yearling","tt0039111",1946,"128 min",NA,NA,"No",NA,NA
"Yellow Submarine","tt0063823",1968,"85 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"Yi Yi: A One and a Two...","tt0244316",2000,"173 min",NA,NA,"No",NA,NA
"Yojimbo","tt0055630",1961,"110 min",NA,NA,"No",NA,NA
"You Can Count on Me","tt0203230",2000,"111 min",NA,NA,"No",NA,NA
"You Only Live Once","tt0029808",1937,"86 min",NA,NA,"No","Prime","Feature Film"
"Young Frankenstein","tt0072431",1974,"106 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Young Mr. Lincoln","tt0032155",1939,"100 min",NA,NA,"No",NA,NA
"Y tu mamá también","tt0245574",2001,"106 min",NA,NA,"No",NA,NA
"Z","tt0065234",1969,"127 min",NA,NA,"No",NA,NA
"Zero for Conduct","tt0024803",1933,"44 min",NA,NA,"No",NA,NA
