"ItemTitle","IMDBid","ItemYear","ItemRuntime","Rating","Rated.Date","Seen","Service","Type"
"Dinner at Eight","tt0023948",1933,"111 min",NA,NA,"No",NA,NA
"The Dirty Dozen","tt0061578",1967,"150 min",NA,NA,"No",NA,NA
"Dirty Harry","tt0066999",1971,"102 min",NA,NA,"No",NA,NA
"Dirty Rotten Scoundrels","tt0095031",1988,"110 min",NA,NA,"No",NA,NA
"The Discreet Charm of the Bourgeoisie","tt0068361",1972,"102 min","8","Rated on 08 Nov 2021","Yes",NA,NA
"Disraeli","tt0019823",1929,"90 min",NA,NA,"No",NA,NA
"Distant Thunder","tt0069737",1973,"101 min",NA,NA,"No","Prime","Feature Film"
"Diva","tt0082269",1981,"117 min",NA,NA,"No",NA,NA
"Divorce Italian Style","tt0055913",1961,"105 min",NA,NA,"No",NA,NA
"Do the Right Thing","tt0097216",1989,"120 min",NA,NA,"No","Prime","Feature Film"
"Dr. Jekyll and Mr. Hyde","tt0022835",1931,"98 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","tt0057012",1964,"95 min","8","Rated on 19 Sep 2021","Yes",NA,NA
"Doctor Zhivago","tt0059113",1965,"197 min",NA,NA,"No",NA,NA
"Dodsworth","tt0027532",1936,"101 min",NA,NA,"No","Prime","Feature Film"
"La Dolce Vita","tt0053779",1960,"174 min",NA,NA,"No",NA,NA
"Donnie Brasco","tt0119008",1997,"127 min",NA,NA,"No",NA,NA
"Don't Look Back","tt0061589",1967,"96 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Double Indemnity","tt0036775",1944,"107 min",NA,NA,"No",NA,NA
"Down by Law","tt0090967",1986,"107 min",NA,NA,"No",NA,NA
"Dracula","tt0021814",1931,"75 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"The Dreamlife of Angels","tt0120449",1998,"113 min",NA,NA,"No",NA,NA
"Dressed to Kill","tt0080661",1980,"104 min",NA,NA,"No",NA,NA
"The Dresser","tt0085461",1983,"118 min",NA,NA,"No",NA,NA
"Driving Miss Daisy","tt0097239",1989,"99 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"Drowning by Numbers","tt0092929",1988,"118 min",NA,NA,"No",NA,NA
"Drugstore Cowboy","tt0097240",1989,"101 min",NA,NA,"No",NA,NA
"Duck Soup","tt0023969",1933,"69 min",NA,NA,"No",NA,NA
"The Duellists","tt0075968",1977,"100 min",NA,NA,"No",NA,NA
"Dumbo","tt0033563",1941,"64 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"East of Eden","tt0048028",1955,"118 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"Easy Living","tt0028816",1937,"88 min",NA,NA,"No",NA,NA
"Eat Drink Man Woman","tt0111797",1994,"124 min",NA,NA,"No",NA,NA
"Effi Briest","tt0071458",1974,"135 min",NA,NA,"No",NA,NA
"8½","tt0056801",1963,"138 min",NA,NA,"No",NA,NA
"Eight Men Out","tt0095082",1988,"119 min",NA,NA,"No",NA,NA
"The Elephant Man","tt0080678",1980,"124 min",NA,NA,"No",NA,NA
"Elmer Gantry","tt0053793",1960,"146 min",NA,NA,"No",NA,NA
"Empire of the Sun","tt0092965",1987,"153 min",NA,NA,"No",NA,NA
"Enemies, A Love Story","tt0097276",1989,"119 min",NA,NA,"No",NA,NA
"Children of Paradise","tt0037674",1945,"189 min",NA,NA,"No",NA,NA
"The English Patient","tt0116209",1996,"162 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"The Entertainer","tt0053796",1960,"96 min",NA,NA,"No",NA,NA
"Entre Nous","tt0085370",1983,"110 min",NA,NA,"No",NA,NA
"E.T. the Extra-Terrestrial","tt0083866",1982,"115 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Europa Europa","tt0099776",1990,"112 min",NA,NA,"No",NA,NA
"Every Man for Himself","tt0079854",1980,"87 min",NA,NA,"No",NA,NA
"The Exorcist","tt0070047",1973,"122 min","9","Rated on 09 Jul 2021","Yes",NA,NA
"The Exterminating Angel","tt0056732",1962,"95 min",NA,NA,"No",NA,NA
"A Face in the Crowd","tt0050371",1957,"126 min",NA,NA,"No",NA,NA
"Face to Face","tt0074147",1976,"114 min",NA,NA,"No",NA,NA
"Faces","tt0062952",1968,"130 min",NA,NA,"No",NA,NA
"The Family Game","tt0087545",1983,"107 min",NA,NA,"No",NA,NA
"Fanny and Alexander","tt0083922",1982,"188 min",NA,NA,"No",NA,NA
"Fantasia","tt0032455",1940,"125 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"Farewell My Concubine","tt0106332",1993,"171 min",NA,NA,"No",NA,NA
"Far from Heaven","tt0297884",2002,"107 min",NA,NA,"No",NA,NA
"Fargo","tt0116282",1996,"98 min","8","Rated on 11 Jul 2021","Yes","Prime","Feature Film"
"Fast, Cheap & Out of Control","tt0119107",1997,"80 min",NA,NA,"No",NA,NA
"Atanarjuat: The Fast Runner","tt0285441",2001,"172 min",NA,NA,"No",NA,NA
"Fat City","tt0068575",1972,"96 min",NA,NA,"No",NA,NA
"Fatal Attraction","tt0093010",1987,"119 min",NA,NA,"No",NA,NA
"Father of the Bride","tt0042451",1950,"92 min",NA,NA,"No",NA,NA
"Fellini Satyricon","tt0064940",1969,"129 min",NA,NA,"No",NA,NA
"La femme infidèle","tt0064323",1969,"98 min",NA,NA,"No",NA,NA
"Nikita","tt0100263",1990,"117 min","7","Rated on 15 Jul 2021","Yes",NA,NA
"The Fisher King","tt0101889",1991,"137 min","6","Rated on 20 Aug 2021","Yes",NA,NA
"Fists in the Pocket","tt0059619",1965,"105 min",NA,NA,"No",NA,NA
"Fitzcarraldo","tt0083946",1982,"158 min",NA,NA,"No","Prime","Feature Film"
"Five Easy Pieces","tt0065724",1970,"98 min",NA,NA,"No",NA,NA
"The Flamingo Kid","tt0087265",1984,"100 min",NA,NA,"No",NA,NA
"The Fly","tt0051622",1958,"94 min",NA,NA,"No",NA,NA
"Force of Evil","tt0040366",1948,"79 min","9","Rated on 16 Oct 2021","Yes",NA,NA
"For Whom the Bell Tolls","tt0035896",1943,"170 min",NA,NA,"No",NA,NA
"Forbidden Games","tt0043686",1952,"86 min",NA,NA,"No",NA,NA
"A Foreign Affair","tt0040367",1948,"116 min",NA,NA,"No",NA,NA
"The Fortune Cookie","tt0060424",1966,"125 min",NA,NA,"No",NA,NA
"The 400 Blows","tt0053198",1959,"99 min",NA,NA,"No",NA,NA
"Frankenstein","tt0021884",1931,"70 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"The French Connection","tt0067116",1971,"104 min",NA,NA,"No",NA,NA
"Frenzy","tt0068611",1972,"116 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"Friendly Persuasion","tt0049233",1956,"137 min",NA,NA,"No",NA,NA
"From Here to Eternity","tt0045793",1953,"118 min",NA,NA,"No",NA,NA
"The Fugitive","tt0039402",1947,"104 min",NA,NA,"No",NA,NA
"Full Metal Jacket","tt0093058",1987,"116 min","8","Rated on 09 Jul 2021","Yes",NA,NA
"The Full Monty","tt0119164",1997,"91 min",NA,NA,"No",NA,NA
"Funny Face","tt0050419",1957,"103 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"Funny Girl","tt0062994",1968,"151 min","8","Rated on 09 Jul 2021","Yes","Prime","Feature Film"
"Fury","tt0027652",1936,"92 min",NA,NA,"No",NA,NA
"Gallipoli","tt0082432",1981,"110 min",NA,NA,"No",NA,NA
"Gandhi","tt0083987",1982,"191 min","6","Rated on 16 Sep 2021","Yes",NA,NA
"Gangs of New York","tt0217505",2002,"167 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"The Garden of the Finzi-Continis","tt0065777",1970,"94 min",NA,NA,"No",NA,NA
"Gas Food Lodging","tt0104321",1992,"101 min",NA,NA,"No","Prime","Feature Film"
"Gaslight","tt0036855",1944,"114 min",NA,NA,"No",NA,NA
"Gate of Hell","tt0045935",1953,"89 min",NA,NA,"No",NA,NA
"A Geisha","tt0045814",1953,"85 min",NA,NA,"No",NA,NA
"The General","tt0120706",1998,"124 min",NA,NA,"No",NA,NA
"Il Generale Della Rovere","tt0053856",1959,"129 min",NA,NA,"No",NA,NA
"Genevieve","tt0045808",1953,"86 min",NA,NA,"No","Prime","Feature Film"
"Gentlemen Prefer Blondes","tt0045810",1953,"91 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"Georgy Girl","tt0060453",1966,"99 min",NA,NA,"No",NA,NA
"Get Carter","tt0067128",1971,"112 min",NA,NA,"No",NA,NA
"Get Out Your Handkerchiefs","tt0078122",1978,"108 min",NA,NA,"No",NA,NA
"Ghost World","tt0162346",2001,"111 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"Giant","tt0049261",1956,"201 min","7","Rated on 09 Jul 2021","Yes",NA,NA
