"Submitting country","Film title used in nomination","Original title","Language(s)","Director(s)","Result","Result [6]","Title used in nomination","Ceremony"
"Denmark","Oh, to Be on the Bandwagon!","Man sku være noget ved musikken","Danish","Henning Carlsen","Not nominated",NA,NA,"/w"
"Egypt","My Wife and the Dog","زوجتي و الكلب","Arabic","Said Marzouk","Not nominated",NA,NA,"/w"
"France","The Discreet Charm of the Bourgeoisie","Le Charme discret de la bourgeoisie","French, Spanish","Luis Buñuel","Won Academy Award",NA,NA,"/w"
"West Germany","Trotta","Trotta","German","Johannes Schaaf","Not nominated",NA,NA,"/w"
"Hungary","Present Indicative","Jelenidő","Hungarian","Péter Bacsó","Not nominated",NA,NA,"/w"
"India","Uphaar","उपहार","Hindi","Sudhendu Roy","Not nominated",NA,NA,"/w"
"Israel","I Love You Rosa","אני אוהב אותך רוזה","Hebrew","Moshé Mizrahi","Nominated",NA,NA,"/w"
"Italy","Roma","Roma","Italian","Federico Fellini","Not nominated",NA,NA,"/w"
"Japan","Under the Flag of the Rising Sun","軍旗はためく下に","Japanese","Kinji Fukasaku","Not nominated",NA,NA,"/w"
"Kuwait","The Cruel Sea","فيلم بس يابحر","Arabic","Khalid Al Siddiq","Not nominated",NA,NA,"/w"
"Peru","Mirage","Espejismo","Spanish","Armando Robles Godoy","Not nominated",NA,NA,"/w"
"Poland","Pearl in the Crown","Perla w koronie","Polish","Kazimierz Kutz","Not nominated",NA,NA,"/w"
"Soviet Union","The Dawns Here Are Quiet","А зори здесь тихие","Russian","Stanislav Rostotsky","Nominated",NA,NA,"/w"
"Spain","My Dearest Senorita","Mi querida señorita","Spanish","Jaime de Armiñán","Nominated",NA,NA,"/w"
"Sweden","The New Land","Nybyggarna","Swedish","Jan Troell","Nominated",NA,NA,"/w"
"Switzerland","La Salamandre","La Salamandre","French","Alain Tanner","Not nominated",NA,NA,"/w"
"Taiwan","Execution in Autumn","秋決","Chinese","Li Hsing","Not nominated",NA,NA,"/w"
"Yugoslavia","The Master and Margaret","Majstor i Margarita","Serbo-Croatian","Aleksandar Petrović","Not nominated",NA,NA,"/w"
"Brazil","John, the Knife and the River","A Faca E o Rio","Portuguese","George Sluizer","Not nominated",NA,NA,"/w"
"Czechoslovakia","Days of Betrayal","Dny zrady","Czech","Otakar Vávra","Not nominated",NA,NA,"/w"
"Egypt","Empire M","إمبراطورية ميم","Arabic","Hussein Kamal","Not nominated",NA,NA,"/w"
"Finland","The Earth Is a Sinful Song","Maa on syntinen laulu","Finnish","Rauni Mollberg","Not nominated",NA,NA,"/w"
"France","Day for Night","La Nuit américaine","French","François Truffaut","Won Academy Award",NA,NA,"/w"
"East Germany","The Third","Der Dritte","German","Egon Günther","Not nominated",NA,NA,"/w"
"West Germany","The Pedestrian","Der Fußgänger","German","Maximilian Schell","Nominated",NA,NA,"/w"
"Hungary","Photography","Fotográfia","Hungarian","Pál Zolnay","Not nominated",NA,NA,"/w"
"India","Saudagar","सौदागर","Hindi","Sudhendu Roy","Not nominated",NA,NA,"/w"
"Israel","The House on Chelouche Street","בית ברחוב שלוש","Hebrew","Moshé Mizrahi","Nominated",NA,NA,"/w"
"Japan","Coup d'État","戒厳令","Japanese","Yoshishige Yoshida","Not nominated",NA,NA,"/w"
"South Korea","Mute Samyong","비련의 벙어리 삼용","Korean","Byun Jang-ho","Not nominated",NA,NA,"/w"
"Mexico","Reed: Insurgent Mexico","Reed, México insurgente","Spanish","Paul Leduc","Not nominated",NA,NA,"/w"
"Netherlands","Turkish Delight","Turks fruit","Dutch","Paul Verhoeven","Nominated",NA,NA,"/w"
"Poland","Copernicus","Kopernik","Polish","Ewa Petelska and Czesław Petelski","Not nominated",NA,NA,"/w"
"Romania","Veronica","Veronica","Romanian","Elisabeta Bostan","Not nominated",NA,NA,"/w"
"Soviet Union","Liberation","Освобождение","Russian","Yuri Ozerov","Not nominated",NA,NA,"/w"
"Spain","Habla, mudita","Habla, mudita","Spanish","Manuel Gutiérrez Aragón","Not nominated",NA,NA,"/w"
"Sweden","Scenes from a Marriage","Scener ur ett äktenskap","Swedish","Ingmar Bergman","Disqualified",NA,NA,"/w"
"Switzerland","L'Invitation","L'Invitation","French","Claude Goretta","Nominated",NA,NA,"/w"
"Yugoslavia","The Battle of Sutjeska","Sutjeska","Serbo-Croatian","Stipe Delić","Not nominated",NA,NA,"/w"
"Argentina","The Truce","La Tregua","Spanish","Sergio Renán","Nominated",NA,NA,"/w"
"Belgium","The Conscript","De Loteling","Dutch","Roland Verhavert","Not nominated",NA,NA,"/w"
"Brazil","The Scarecrow's Night","A Noite do Espantalho","Portuguese","Sérgio Ricardo","Not nominated",NA,NA,"/w"
"Bulgaria","The Last Summer","Последно лято","Bulgarian","Hristo Hristov","Not nominated",NA,NA,"/w"
"Czechoslovakia","Lovers in the Year One","Milenci v roce jedna","Czech","Jaroslav Balík","Not nominated",NA,NA,"/w"
"Denmark","The Olsen Gang's Last Escapade","Olsen-bandens sidste bedrifter","Danish","Erik Balling","Not nominated",NA,NA,"/w"
"Egypt","Where Is My Mind?","أين عقلي","Arabic","Atef Salem","Not nominated",NA,NA,"/w"
"France","Lacombe, Lucien","Lacombe Lucien","French","Louis Malle","Nominated",NA,NA,"/w"
"West Germany","One or the Other","Einer von uns beiden","German","Wolfgang Petersen","Not nominated",NA,NA,"/w"
"Hungary","Cats' Play","Macskajáték","Hungarian","Károly Makk","Nominated",NA,NA,"/w"
"India","Hot Winds","Garam Hawa गरम हवा","Urdu, Hindi","M. S. Sathyu","Not nominated",NA,NA,"/w"
"Italy","Amarcord","Amarcord","Italian","Federico Fellini","Won Academy Award",NA,NA,"/w"
"Japan","The Fossil","化石","Japanese","Masaki Kobayashi","Not nominated",NA,NA,"/w"
"Mexico","Calzonzin Inspector","Calzonzin Inspector","Spanish","Alfonso Arau","Not nominated",NA,NA,"/w"
"Netherlands","Help! The Doctor Is Drowning","Help, de dokter verzuipt!","Dutch","Nikolai van der Heyde","Not nominated",NA,NA,"/w"
"Poland","The Deluge","Potop","Polish","Jerzy Hoffman","Nominated",NA,NA,"/w"
"Soviet Union","The Ferocious One","Лютый","Russian","Tolomush Okeyev","Not nominated",NA,NA,"/w"
"Spain","La Prima Angelica","La Prima Angélica","Spanish","Carlos Saura","Not nominated",NA,NA,"/w"
"Switzerland","The Middle of the World","Le Milieu du monde","French","Alain Tanner","Not nominated",NA,NA,"/w"
"Yugoslavia","The Dervish and Death","Derviš i smrt","Serbo-Croatian","Zdravko Velimirović","Not nominated",NA,NA,"/w"
"Algeria","Chronicle of the Years of Fire","Chronique des années de braise","Arabic","Mohammed Lakhdar-Hamina","Not nominated",NA,NA,"/w"
"Argentina","Nazareno Cruz and the Wolf","Nazareno Cruz y el lobo","Spanish","Leonardo Favio","Not nominated",NA,NA,"/w"
"Brazil","Ogum's Amulet","O Amuleto de Ogum","Portuguese","Nelson Pereira dos Santos","Not nominated",NA,NA,"/w"
"Canada","Orders","Les Ordres","French","Michel Brault","Not nominated",NA,NA,"/w"
"Czechoslovakia","Circus in the Circus","Cirkus v cirkuse","Czech","Oldřich Lipský","Not nominated",NA,NA,"/w"
"Denmark","Per","Per","Danish","Hans Kristensen","Not nominated",NA,NA,"/w"
"Egypt","I Want a Solution","أريد حلاً","Arabic","Said Marzouk","Not nominated",NA,NA,"/w"
"France","India Song","India Song","French","Marguerite Duras","Not nominated",NA,NA,"/w"
"West Germany","Every Man For Himself and God Against All","Jeder für sich und Gott gegen alle","German","Werner Herzog","Not nominated",NA,NA,"/w"
"Greece","The Travelling Players","Ο Θίασος","Greek","Theodoros Angelopoulos","Not nominated",NA,NA,"/w"
